observation_date,NHFSEPUCS
2013-01-01,87
2013-02-01,89
2013-03-01,90
2013-04-01,95
2013-05-01,97
2013-06-01,96
2013-07-01,99
2013-08-01,102
2013-09-01,105
2013-10-01,106
2013-11-01,109
2013-12-01,114
2014-01-01,114
2014-02-01,114
2014-03-01,112
2014-04-01,113
2014-05-01,115
2014-06-01,117
2014-07-01,122
2014-08-01,123
2014-09-01,122
2014-10-01,121
2014-11-01,120
2014-12-01,120
2015-01-01,117
2015-02-01,112
2015-03-01,115
2015-04-01,119
2015-05-01,123
2015-06-01,128
2015-07-01,132
2015-08-01,133
2015-09-01,137
2015-10-01,135
2015-11-01,138
2015-12-01,139
2016-01-01,144
2016-02-01,146
2016-03-01,148
2016-04-01,148
2016-05-01,145
2016-06-01,149
2016-07-01,142
2016-08-01,139
2016-09-01,143
2016-10-01,152
2016-11-01,151
2016-12-01,152
2017-01-01,153
2017-02-01,154
2017-03-01,158
2017-04-01,161
2017-05-01,161
2017-06-01,163
2017-07-01,167
2017-08-01,171
2017-09-01,170
2017-10-01,173
2017-11-01,177
2017-12-01,178
2018-01-01,178
2018-02-01,180
2018-03-01,181
2018-04-01,185
2018-05-01,189
2018-06-01,192
2018-07-01,192
2018-08-01,195
2018-09-01,199
2018-10-01,200
2018-11-01,199
2018-12-01,203
2019-01-01,211
2019-02-01,207
2019-03-01,203
2019-04-01,202
2019-05-01,202
2019-06-01,199
2019-07-01,195
2019-08-01,194
2019-09-01,194
2019-10-01,191
2019-11-01,190
2019-12-01,189
2020-01-01,195
2020-02-01,199
2020-03-01,199
2020-04-01,188
2020-05-01,176
2020-06-01,178
2020-07-01,174
2020-08-01,172
2020-09-01,176
2020-10-01,180
2020-11-01,183
2020-12-01,189
2021-01-01,188
2021-02-01,191
2021-03-01,197
2021-04-01,200
2021-05-01,207
2021-06-01,217
2021-07-01,233
2021-08-01,246
2021-09-01,246
2021-10-01,253
2021-11-01,262
2021-12-01,263
2022-01-01,268
2022-02-01,271
2022-03-01,282
2022-04-01,300
2022-05-01,307
2022-06-01,315
2022-07-01,319
2022-08-01,317
2022-09-01,312
2022-10-01,307
2022-11-01,296
2022-12-01,292
2023-01-01,286
2023-02-01,278
2023-03-01,273
2023-04-01,268
2023-05-01,269
2023-06-01,268
2023-07-01,261
2023-08-01,260
2023-09-01,263
2023-10-01,266
2023-11-01,276
2023-12-01,269
2024-01-01,280
2024-02-01,283
2024-03-01,286
2024-04-01,284
2024-05-01,282
2024-06-01,280
2024-07-01,268
2024-08-01,271
2024-09-01,271
2024-10-01,273
2024-11-01,270
2024-12-01,268
